Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications
Computer Science,Fluid Mechanics Engineer,3.5,9,0,4,0,7,0,1,4,0,1,3,3,4,0
Chemistry,Legal Secretary,2.8,7,1,3,1,2,1,4,2,0,1,4,3,1,1
Medicine,Chemist,4.0,3,0,4,0,8,0,0,0,2,3,0,0,1,0
Marketing,Chemical Engineer,3.5,4,2,3,1,7,0,2,1,1,2,4,1,4,0
Physics,Inorganic Chemist,3.7,0,1,1,1,2,0,1,0,3,0,3,1,2,0
Chemistry,Mechanical Engineer,4.1,2,1,4,1,8,1,2,1,4,0,1,2,1,1
Biology,Advertising Manager,3.9,8,0,3,1,9,1,2,4,0,1,4,0,3,0
Music,Ecologist,4.4,2,2,3,0,4,1,3,0,4,1,1,0,2,0
Finance,Curriculum Developer,2.8,4,0,4,0,1,1,0,2,1,1,1,3,3,1
Physics,Accountant,4.6,3,2,4,1,9,1,3,0,2,2,1,4,1,1
Education,Forensic Psychologist,4.2,1,1,1,1,6,1,3,1,4,1,0,4,0,1
Music,Geneticist,4.5,2,0,4,0,9,1,1,3,3,2,1,2,3,0
Chemistry,Pharmacist,3.9,7,2,3,0,8,1,1,4,0,4,2,0,4,1
Engineering,Inorganic Chemist,3.3,1,2,4,1,4,0,0,0,1,1,2,4,1,0
Law,Architectural Technologist,4.4,3,1,2,0,9,1,2,2,3,4,0,2,4,1
Engineering,Clinical Psychologist,3.7,4,2,2,1,2,0,4,4,2,4,2,4,2,1
Physics,Judge,3.2,4,1,3,1,2,1,1,4,3,4,1,3,0,0
Physics,Principal,3.2,7,1,3,1,8,0,3,1,4,4,4,0,3,0
Art,Ecologist,3.6,5,0,1,1,1,1,1,4,2,1,0,2,3,1
Music,Landscape Architect,2.7,7,1,0,1,1,0,1,4,0,3,0,2,0,1
Computer Science,Civil Engineer,2.7,2,2,0,0,3,1,1,0,3,2,3,1,4,0
Architecture,Nurse,4.4,5,0,2,0,0,0,1,3,4,4,2,3,3,0
Physics,Clinical Psychologist,3.5,7,1,2,1,4,0,4,4,0,3,4,1,1,1
Art,Credit Analyst,3.5,9,2,3,0,7,0,1,0,3,2,3,4,3,1
Art,AI Researcher,4.4,9,0,0,1,4,1,2,3,0,2,0,4,3,1
Marketing,Judge,2.5,4,0,0,0,8,1,1,2,0,4,2,0,3,0
Biology,Credit Analyst,2.8,3,0,4,0,2,1,1,2,0,2,4,4,1,0
Finance,Risk Analyst,4.4,5,1,4,1,2,0,2,1,1,3,1,2,3,0
Education,Art Therapist,4.5,6,0,0,1,4,0,4,4,1,4,4,1,1,0
Psychology,Special Education Teacher,4.5,6,2,2,1,6,0,3,4,4,3,0,1,4,1
Biology,Inorganic Chemist,3.3,9,2,2,1,0,0,0,0,1,4,4,3,2,0
Physics,Web Developer,2.6,2,1,0,1,0,0,2,2,2,1,1,4,3,0
Finance,Industrial-Organizational Psychologist,4.7,7,2,0,0,9,0,4,0,4,3,3,1,4,0
Marketing,Curriculum Developer,3.7,3,0,2,1,2,0,4,4,0,2,2,3,1,1
Engineering,Industrial-Organizational Psychologist,3.5,6,0,1,0,2,1,2,3,0,2,2,1,0,1
Art,Acoustics Specialist,2.8,2,0,3,0,9,0,1,3,4,3,1,3,0,0
Education,Counselor,2.6,6,2,2,1,0,0,0,0,2,3,2,1,4,1
Business,Brand Manager,3.5,1,2,1,1,1,1,0,2,3,1,0,4,3,0
Chemistry,Zoologist,2.7,3,0,4,0,9,1,4,1,2,4,3,4,2,1
Engineering,Architectural Technologist,4.1,2,0,0,1,0,1,3,1,1,2,4,4,1,0
Engineering,Credit Analyst,4.9,6,1,2,1,0,1,1,0,4,0,2,3,2,0
Computer Science,Social Media Manager,3.4,6,1,2,0,8,1,4,4,2,2,0,0,0,0
Law,Physical Chemist,4.5,5,1,0,1,3,1,4,0,2,0,3,1,4,0
Medicine,Illustrator,4.3,1,0,4,0,0,0,2,0,1,2,1,1,3,1
Medicine,Physical Chemist,3.8,1,0,1,1,9,0,2,2,4,1,4,1,3,0
Education,Chemist,4.6,5,0,2,1,1,1,0,4,4,1,4,1,2,1
Marketing,Entrepreneur,4.9,6,0,4,1,8,1,2,2,3,0,4,4,1,1
Business,Musician,4.3,8,1,0,0,5,0,1,3,1,3,2,2,3,1
Finance,Special Education Teacher,3.9,9,0,2,0,4,1,4,4,1,0,4,4,1,1
Architecture,Financial Controller,3.0,9,1,0,0,7,0,3,0,0,1,2,4,1,1
Medicine,Analytical Chemist,3.2,2,1,0,0,9,1,0,0,0,2,4,0,0,0
Law,Human Resources Specialist,4.6,4,1,2,0,1,0,1,4,1,1,4,3,0,0
Medicine,Architectural Technologist,3.3,6,1,2,0,8,1,0,1,2,0,2,0,1,1
Chemistry,Data Scientist,4.2,5,1,3,0,3,0,3,3,3,2,0,0,3,0
Chemistry,Ecologist,4.5,7,0,4,0,0,1,2,3,4,2,1,0,1,0
Biology,Psychologist,4.4,4,2,0,0,5,1,3,3,1,2,1,3,2,1
Finance,Interior Designer,2.7,9,1,1,0,9,0,3,0,4,2,2,0,3,1
Chemistry,Data Scientist,4.0,9,2,3,1,1,1,3,4,3,3,4,2,4,0
Marketing,Music Therapist,3.1,8,2,1,1,1,1,3,4,2,1,1,0,3,1
Law,Industrial-Organizational Psychologist,4.6,1,2,3,0,4,0,4,2,3,3,1,4,1,0
Music,Software Developer,4.2,4,1,4,1,0,1,2,1,2,0,3,1,1,1
Medicine,Conductor,3.3,9,0,2,0,2,0,4,4,2,0,3,2,1,1
Architecture,Counselor,3.3,4,0,0,0,4,1,2,4,0,2,1,2,1,0
Business,Web Developer,3.6,0,2,4,0,7,1,3,3,2,4,4,3,2,0
Architecture,Curriculum Developer,4.1,8,1,4,0,3,1,4,1,1,3,2,1,4,1
Marketing,Architect,3.7,8,2,4,1,0,0,3,1,1,4,1,4,2,1
Computer Science,Psychologist,4.3,4,1,1,0,9,1,3,2,3,1,3,4,2,1
Marketing,Marketing Specialist,4.9,0,0,3,1,6,0,0,1,1,3,2,0,1,1
Psychology,Brand Manager,2.9,5,1,1,1,1,1,3,3,4,0,4,3,0,0
Engineering,Surgeon,3.8,0,1,3,1,4,1,1,1,1,0,3,1,2,0
Biology,Counselor,4.8,5,0,4,1,2,0,1,0,3,1,3,1,2,0
Architecture,Legal Secretary,3.4,8,0,2,1,0,0,0,1,3,0,1,2,1,1
Engineering,Quantum Physicist,3.2,4,1,1,0,9,1,0,1,1,4,1,1,2,0
Law,Brand Manager,2.8,2,1,1,0,0,1,0,2,0,3,4,2,2,1
Biology,Digital Marketing Specialist,2.9,1,0,3,1,3,1,4,1,0,4,4,3,1,0
Chemistry,Mechanical Engineer,3.8,8,2,2,0,2,1,4,4,2,0,0,3,1,0
Physics,Marketing Specialist,3.3,7,1,3,0,2,0,3,0,4,4,2,0,2,1
Law,Ecologist,4.3,7,1,2,0,6,0,3,2,1,3,2,3,4,0
Music,Principal,3.2,3,2,2,1,0,0,4,0,0,4,4,0,1,0
Engineering,Microbiologist,2.6,7,0,3,1,4,1,4,1,2,1,1,4,2,1
Education,Nuclear Physicist,3.5,0,0,3,0,9,1,0,0,0,1,1,3,0,1
Engineering,Chemist,2.6,1,2,0,1,1,0,2,4,4,2,2,2,3,1
Business,Music Therapist,4.7,2,2,4,0,2,1,4,3,0,1,3,3,2,1
Physics,Market Research Analyst,2.9,4,0,3,1,7,0,1,3,2,3,1,1,3,0
Psychology,Risk Analyst,2.9,9,2,0,1,5,0,4,2,4,1,1,4,0,1
Law,Software Developer,2.5,5,1,1,1,7,0,0,1,3,4,1,2,0,0
Education,Special Education Teacher,4.8,9,2,0,0,6,0,3,0,3,4,4,3,3,0
Education,AI Researcher,4.4,6,2,0,0,3,0,4,0,2,1,2,2,2,0
Chemistry,Human Resources Specialist,3.2,3,1,0,0,0,0,0,1,2,1,2,4,1,1
Psychology,Conductor,3.2,0,0,2,1,2,0,3,2,0,0,4,0,4,1
Chemistry,Architectural Technologist,3.4,0,2,1,1,2,1,1,3,2,1,3,3,2,0
Chemistry,Acoustics Specialist,3.0,4,2,1,0,0,0,1,0,0,2,2,2,0,1
Medicine,Psychologist,4.4,1,1,0,0,3,0,3,1,0,1,1,0,2,0
Biology,Social Media Manager,3.7,0,0,4,1,0,1,1,2,4,3,4,0,3,0
Engineering,Human Resources Specialist,4.0,5,0,4,1,1,1,3,1,3,2,3,4,2,0
Medicine,Dentist,3.3,9,1,0,1,7,1,4,1,4,4,4,1,3,1
Physics,Architectural Technologist,3.8,2,1,3,0,2,0,0,1,4,1,3,2,4,0
Architecture,Biologist,4.0,2,1,4,0,1,0,1,4,4,4,2,4,1,0
Education,Analytical Chemist,3.1,9,0,2,1,0,0,2,2,2,2,4,4,1,0
Art,Urban Planner,3.3,3,1,0,0,9,0,4,2,1,0,4,0,1,0
Finance,Financial Advisor,2.7,0,1,1,0,3,0,2,0,1,2,2,4,1,1
Art,Legal Analyst,5.0,3,1,0,0,6,0,2,1,1,4,1,0,2,1
Law,Financial Advisor,3.2,1,2,4,1,4,0,4,0,0,2,4,0,3,0
Education,Clinical Psychologist,4.6,4,2,2,0,7,0,2,4,3,0,2,2,4,0
Education,Zoologist,3.2,7,2,2,0,0,0,3,3,0,2,0,4,1,1
Finance,AI Researcher,4.2,4,0,1,0,8,0,0,3,0,3,3,2,4,0
Marketing,Doctor,2.8,7,0,4,0,3,0,0,1,0,3,2,1,4,1
Music,Credit Analyst,3.4,4,0,2,0,7,0,4,2,0,0,3,3,3,0
Psychology,Cybersecurity Analyst,4.6,5,1,1,1,6,0,4,3,0,2,2,1,2,0
Marketing,Risk Analyst,2.6,3,2,0,0,3,0,4,0,1,1,1,0,0,1
Law,Chemist,2.6,6,2,4,0,4,0,0,3,1,2,4,3,4,0
Marketing,Mechanical Engineer,4.7,1,1,3,1,1,0,3,4,1,4,2,3,2,1
Art,Investment Banker,3.0,8,2,0,1,2,1,0,0,1,2,0,1,0,1
Chemistry,Physical Chemist,2.6,5,0,1,0,2,0,2,3,3,4,0,1,0,0
Computer Science,Biotechnologist,2.7,4,0,0,1,3,1,2,3,2,2,3,0,4,0
Engineering,Organic Chemist,4.0,1,0,1,1,6,1,1,3,0,3,0,0,1,1
Music,Investment Banker,3.6,0,0,0,1,0,0,4,2,3,2,0,4,2,0
Music,Nurse,4.6,5,2,3,1,1,1,4,1,2,4,0,0,4,0
Architecture,Interior Designer,4.5,3,0,4,0,1,1,0,0,4,1,1,3,4,1
Music,Aerospace Engineer,4.2,1,2,2,0,7,1,2,2,1,0,0,4,2,1
Art,Physicist,2.5,5,1,0,0,1,1,3,0,3,0,2,3,4,1
Biology,Civil Engineer,3.7,9,0,3,0,5,0,0,2,0,1,4,0,1,0
Medicine,Physician Assistant,3.7,8,0,0,1,7,0,3,4,2,0,4,2,3,1
Marketing,Ecologist,3.9,6,2,2,0,7,1,2,1,0,0,0,4,3,0
Architecture,Pharmacist,3.3,9,1,0,1,8,0,2,2,3,1,0,0,2,1
Biology,Architect,4.1,9,1,1,0,1,0,2,2,2,2,0,1,0,0
Business,Paralegal,3.9,9,0,2,0,5,0,0,1,1,2,1,1,1,1
Art,Legal Secretary,4.6,0,2,1,1,6,0,4,2,2,4,0,1,1,1
Art,Industrial-Organizational Psychologist,3.4,6,2,0,0,2,0,0,4,2,1,0,2,3,0
Business,Brand Manager,4.1,1,2,0,1,3,1,4,0,0,2,3,0,2,0
Law,Judge,3.8,4,0,4,1,0,1,1,1,0,0,4,3,4,0
Chemistry,Animator,4.9,2,2,2,0,4,1,4,4,1,4,3,0,4,0
Art,Financial Controller,4.4,0,0,2,1,6,0,0,1,4,4,1,2,2,0
Finance,Web Developer,2.7,0,0,1,0,6,1,0,0,1,4,1,1,0,1
Computer Science,Organic Chemist,4.3,4,1,3,1,5,1,0,3,4,3,1,0,1,1
Art,Marketing Manager,4.4,0,1,3,0,7,0,3,3,2,2,2,0,4,0
Psychology,School Counselor,3.5,7,0,4,1,2,0,0,4,2,4,2,2,4,0
Biology,Art Therapist,4.7,3,0,2,0,9,0,3,1,2,3,4,2,3,1
Architecture,Biomedical Engineer,3.9,7,0,3,1,1,1,1,0,2,3,3,0,3,1
Marketing,Education Administrator,3.2,9,0,3,1,3,1,4,4,0,0,0,1,1,1
Education,Organic Chemist,3.7,2,0,0,0,1,1,2,3,4,2,4,2,4,1
Engineering,Conductor,2.8,1,0,2,1,0,0,0,1,4,2,2,2,0,0
Physics,Biomedical Engineer,4.0,7,2,4,0,8,1,2,0,1,3,0,4,0,1
Business,Aerospace Engineer,3.9,6,0,1,1,7,1,3,3,3,1,1,2,1,0
Education,Fluid Mechanics Engineer,3.2,7,1,0,1,5,1,0,0,2,0,4,2,2,1
Marketing,Industrial-Organizational Psychologist,3.5,6,1,1,1,3,0,2,0,0,3,2,2,0,0
Education,Architect,3.3,6,0,4,1,6,1,2,0,4,1,2,1,0,1
Law,Landscape Architect,2.9,6,1,3,0,6,1,0,2,2,2,1,4,4,1
Music,Marketing Manager,3.8,5,0,4,0,2,0,2,2,2,3,1,2,4,1
Education,Nurse,4.1,7,2,4,0,4,1,4,3,0,3,3,0,0,1
Finance,Biochemist,2.9,1,2,3,1,7,0,4,1,4,4,2,0,2,0
Physics,Forensic Psychologist,4.4,0,0,1,1,1,1,0,2,2,2,4,4,0,1
Psychology,Inorganic Chemist,4.2,3,2,1,1,5,0,2,0,0,3,1,3,4,1
Finance,School Counselor,2.6,1,2,2,1,7,0,2,4,4,4,4,1,0,0
Music,Architect,3.0,2,1,4,0,2,1,4,0,1,2,2,3,3,0
Finance,Entrepreneur,3.2,6,2,0,0,0,1,4,3,1,0,4,4,0,0
Architecture,Construction Manager,2.7,1,1,1,1,3,1,2,1,3,4,0,1,1,1
Music,Special Education Teacher,4.6,8,1,4,1,0,1,3,1,3,2,0,1,0,0
Art,Chemical Engineer,4.8,7,0,3,1,7,1,1,3,0,2,0,4,2,0
Finance,Urban Planner,3.4,5,2,1,1,6,1,0,4,3,2,2,2,3,0
Business,Lawyer,4.4,3,2,3,0,6,1,0,4,1,1,3,3,4,1
Architecture,Financial Controller,3.0,5,0,4,1,5,1,4,2,1,4,3,3,1,0
Art,Urban Planner,4.5,2,1,4,0,2,1,4,3,2,3,1,4,2,0
Medicine,Zoologist,4.7,5,1,3,1,1,1,3,1,0,2,0,4,0,0
Art,Urban Planner,3.2,8,0,0,0,0,1,0,1,0,1,3,3,4,0
Music,Data Scientist,4.1,4,0,4,0,6,0,0,0,4,4,1,3,3,1
Biology,Biologist,3.4,0,2,3,1,7,1,3,0,3,4,2,4,1,0
Computer Science,Architectural Technologist,4.4,3,0,3,0,9,1,1,0,4,2,2,4,1,1
Law,Credit Analyst,4.6,1,0,4,0,6,1,0,3,1,2,3,3,1,1
Business,Legal Secretary,4.8,7,2,2,1,8,1,0,2,2,3,4,1,3,1
Art,Artist,3.5,7,0,3,1,0,0,4,4,0,1,1,4,3,0
Art,Pharmacist,4.4,1,2,2,0,4,1,1,3,1,4,2,2,4,0
Law,Teacher,2.7,9,0,4,1,8,0,4,0,1,0,4,1,4,0
Engineering,Inorganic Chemist,2.6,9,1,1,0,5,1,3,3,1,0,1,1,0,1
Psychology,Curriculum Developer,4.0,2,1,2,0,0,0,4,2,1,1,3,4,4,1
Business,Paralegal,2.5,9,2,2,0,6,1,2,3,2,0,3,3,4,1
Psychology,Manager,2.7,6,2,0,1,8,1,2,4,2,3,1,4,2,1
Medicine,Accountant,3.7,0,1,2,1,8,1,4,3,3,1,1,1,0,1
Art,Financial Analyst,2.9,7,2,2,1,2,1,0,2,3,3,0,2,4,0
Education,Principal,3.3,2,1,1,1,7,1,4,4,2,0,4,1,0,1
Law,Chemist,3.7,3,1,2,0,1,1,3,2,1,4,4,2,0,0
Biology,Interior Designer,4.3,5,1,3,1,7,0,2,2,0,2,0,2,3,0
Biology,Lawyer,4.3,9,2,0,0,7,1,2,3,2,3,2,2,4,1
Architecture,Conductor,3.4,9,0,0,0,4,1,0,2,3,3,3,4,2,1
Music,Legal Secretary,3.6,1,1,0,0,5,0,1,3,4,4,3,4,0,0
Law,Nurse,3.0,9,1,2,1,8,1,2,2,0,0,4,4,1,0
Law,Web Developer,2.7,2,2,0,0,9,0,2,0,4,3,0,4,4,0
Medicine,Financial Analyst,4.8,2,1,4,0,8,1,2,0,0,4,4,1,2,1
Law,Counselor,3.0,4,0,3,1,9,0,0,4,1,2,0,1,4,0
Business,Digital Marketing Specialist,2.6,4,2,2,0,8,1,3,2,3,1,3,2,1,0
Chemistry,Investment Banker,2.6,4,2,4,0,8,1,2,4,1,3,4,1,2,1
Business,Graphic Designer,3.3,6,0,4,1,2,1,3,3,2,0,0,0,4,0
Education,Astronomer,3.0,8,2,4,1,7,0,1,3,2,2,4,2,1,0
Biology,Artist,4.1,5,1,4,1,5,0,2,1,1,1,1,4,1,1
Architecture,Construction Manager,4.9,1,1,2,0,9,0,0,4,2,0,3,0,4,1
Marketing,Social Media Manager,2.8,0,1,3,1,9,1,0,1,0,0,1,4,0,1
Architecture,Advertising Manager,4.5,0,0,0,1,0,0,0,2,2,3,2,0,1,1
Physics,School Counselor,4.4,9,2,0,1,2,1,0,1,3,3,3,4,1,1
Education,Zoologist,3.5,5,2,3,1,2,1,4,4,1,3,0,1,1,0
Physics,Special Education Teacher,3.9,8,0,4,0,5,0,0,3,1,1,3,0,2,1
Education,Physical Chemist,5.0,8,2,4,1,2,0,3,3,0,4,3,1,3,0
Psychology,Game Developer,3.2,8,0,2,1,1,1,2,1,0,2,4,3,2,1
Chemistry,Actuary,4.4,5,0,3,1,5,1,1,4,1,0,4,2,2,1
Architecture,Clinical Psychologist,4.0,2,1,0,1,2,1,2,2,0,4,4,4,3,1
Psychology,Entrepreneur,4.6,1,2,0,1,2,1,4,3,2,3,1,0,0,1
Education,Judge,3.4,9,0,3,0,3,1,0,4,2,2,0,0,2,0
Education,Marketing Manager,2.9,8,2,0,0,5,0,4,2,4,2,1,2,4,0
Law,Nuclear Physicist,4.1,9,1,0,0,2,1,2,0,3,4,2,1,2,1
Physics,Risk Analyst,3.1,9,1,4,1,4,1,4,4,3,4,1,1,1,0
Computer Science,Education Administrator,4.0,6,2,3,0,4,1,4,2,1,2,2,1,4,0
Business,AI Researcher,2.6,2,2,2,1,2,1,4,1,4,2,3,4,3,1
Psychology,Judge,3.7,6,0,4,1,8,0,4,1,1,1,3,2,3,1
Education,Credit Analyst,3.5,6,2,0,1,5,0,0,0,1,0,1,4,4,1
Law,Landscape Architect,2.8,3,2,3,1,8,1,0,4,0,4,2,1,0,1
Engineering,Teacher,2.6,4,1,2,0,8,0,1,0,1,0,2,2,0,0
Engineering,Acoustics Specialist,3.8,6,0,2,0,3,1,2,1,1,3,1,0,3,0
Architecture,Biologist,4.3,8,2,1,0,7,0,0,4,4,0,4,0,2,1
Chemistry,Teacher,4.6,0,2,2,0,2,1,4,1,1,1,0,3,3,0
Education,Urban Planner,2.9,5,2,0,0,7,0,2,0,0,4,1,2,1,0
Architecture,Composer,3.5,1,0,4,1,7,1,2,3,2,4,3,2,4,1
Law,Judge,2.8,0,1,0,1,9,0,0,1,0,3,3,3,0,1
Medicine,Lawyer,3.6,1,1,1,1,6,1,1,1,3,1,3,1,1,0
Physics,Legal Secretary,4.3,3,1,4,0,9,0,3,2,3,2,3,1,3,0
Music,Astronomer,4.9,9,2,2,0,9,0,2,1,4,4,0,4,0,1
Marketing,Astronomer,4.5,7,0,4,0,2,0,3,3,3,2,3,3,1,1
Finance,Manager,3.1,2,2,3,0,0,1,3,3,3,2,3,2,2,0
Chemistry,Game Developer,4.8,8,0,1,1,3,1,0,4,2,3,1,0,1,1
Psychology,Animator,4.8,5,1,0,0,2,1,3,1,1,3,4,0,1,0
Law,Biotechnologist,3.0,0,1,2,0,5,1,4,3,1,1,3,4,2,0
Finance,Construction Manager,3.9,6,2,0,0,2,0,1,4,3,1,3,0,2,0
Music,Graphic Designer,2.7,7,2,0,1,4,1,4,0,3,3,0,0,1,0
Physics,Illustrator,3.2,7,0,4,1,6,1,3,3,1,0,2,0,1,0
Art,Accountant,3.7,3,2,1,1,0,0,1,1,4,4,0,2,4,1
Computer Science,Psychologist,3.2,9,0,1,0,0,0,0,4,0,1,3,2,0,0
Finance,Industrial-Organizational Psychologist,4.2,6,0,4,0,7,1,1,0,1,3,3,0,2,0
Chemistry,Risk Analyst,3.4,1,1,4,1,6,0,0,1,2,2,1,3,1,1
Music,Psychologist,3.7,2,0,0,1,2,0,1,2,1,0,3,2,1,1
Chemistry,Musician,3.7,8,0,1,0,7,1,4,3,0,0,1,4,1,0
Business,Forensic Psychologist,3.1,6,2,3,0,7,0,2,3,0,3,0,3,2,1
Chemistry,Graphic Designer,3.7,5,0,0,1,9,1,2,0,4,3,2,3,0,0
Chemistry,Investment Banker,4.1,3,2,1,0,8,1,0,4,2,1,2,3,1,1
Finance,Inorganic Chemist,3.4,4,2,3,0,3,0,3,1,3,1,2,0,1,0
Chemistry,Accountant,2.5,8,1,4,1,2,0,3,4,2,1,1,2,4,1
Law,Marketing Manager,2.7,3,0,1,0,7,1,1,3,0,4,1,1,0,1
Music,Graphic Designer,4.1,4,1,3,1,6,1,2,1,3,0,4,2,3,1
Law,Illustrator,3.1,5,0,0,1,6,0,3,4,0,2,0,2,4,1
Music,Music Teacher,3.2,7,2,0,0,3,1,4,1,2,4,2,3,2,1
Business,Manager,3.6,2,0,0,1,1,0,1,4,1,4,1,2,3,1
Finance,Aerospace Engineer,3.0,7,1,3,0,6,0,1,3,2,2,2,1,0,1
Music,Accountant,3.6,1,2,4,0,2,0,2,4,3,4,1,0,3,1
Engineering,Human Resources Specialist,2.8,9,1,1,0,8,0,0,2,2,3,2,4,3,0
Physics,Music Teacher,3.1,8,2,3,1,7,0,3,3,1,1,4,0,3,0
Medicine,Judge,3.1,1,0,2,0,4,1,0,3,1,1,2,4,2,0
Music,Legal Consultant,3.8,1,2,0,1,5,0,4,1,4,3,4,2,4,0
Business,Biotechnologist,2.9,5,1,0,1,8,0,3,3,1,0,0,4,1,1
Business,Art Director,3.3,0,0,0,0,7,0,2,4,2,1,2,1,2,1
Medicine,Legal Consultant,4.6,8,2,1,0,2,0,4,4,4,4,0,3,2,0
Biology,Accountant,3.6,0,2,3,1,5,0,1,2,0,1,1,4,2,1
Biology,Cybersecurity Analyst,3.1,1,2,2,1,9,1,0,0,4,4,1,0,3,0
Education,Urban Planner,3.8,3,2,2,0,3,0,2,1,0,1,3,3,0,1
Engineering,Game Developer,2.6,7,1,1,0,7,0,2,0,1,0,2,3,4,0
Marketing,Construction Manager,4.4,0,1,4,1,6,1,2,1,4,2,3,3,4,1
Architecture,Forensic Psychologist,3.7,7,0,2,0,4,1,2,4,2,4,0,1,0,1
Physics,Education Administrator,4.0,9,0,2,0,0,1,4,0,1,1,3,1,4,0
Music,Composer,3.4,8,1,0,1,2,1,0,2,1,1,1,3,0,1
Computer Science,Biomedical Engineer,4.2,3,2,2,1,6,1,1,1,4,0,2,0,0,0
Physics,Legal Secretary,3.2,7,0,3,0,6,1,0,3,4,2,3,4,4,0
Business,Curriculum Developer,4.0,3,2,4,1,6,0,3,4,3,3,4,4,3,1
Marketing,Counselor,3.3,1,0,4,1,5,0,4,0,4,4,0,1,3,0
Music,Biomedical Engineer,4.7,1,0,4,1,5,1,3,1,2,3,3,4,1,0
Law,Actuary,3.5,7,1,0,1,3,0,3,0,2,4,3,2,3,1
Chemistry,Marketing Manager,3.2,8,0,4,1,3,0,2,1,4,0,3,2,0,1
Education,School Counselor,3.6,7,2,4,0,0,0,4,4,3,1,3,1,2,0
Business,Advertising Manager,3.6,8,0,4,0,6,0,1,2,1,1,0,1,1,0
Chemistry,Game Developer,4.0,0,1,0,0,0,0,1,3,4,1,3,0,0,0
Music,Geneticist,4.5,8,2,1,0,2,0,0,3,3,4,4,0,4,1
Medicine,Music Teacher,2.8,0,2,1,1,9,0,4,0,3,1,3,1,2,1
Music,Marketing Manager,3.5,6,0,1,1,3,0,1,4,4,1,3,0,4,1
Medicine,Biomedical Engineer,3.4,7,0,3,1,2,0,0,3,3,1,1,2,3,1
Business,Teacher,3.2,0,0,1,1,7,0,4,4,1,4,3,0,1,1
Psychology,Surgeon,3.6,3,2,3,0,5,1,1,0,0,0,2,0,2,0
Engineering,Web Developer,4.8,7,0,4,1,7,1,0,0,3,4,3,0,0,1
Chemistry,Composer,2.7,9,0,4,0,0,1,4,3,1,0,3,2,3,0
Architecture,Art Director,3.2,5,0,4,0,0,1,2,1,1,3,3,0,3,0
Engineering,Lawyer,4.9,4,2,2,0,5,1,2,2,2,4,2,1,4,0
Marketing,Physicist,3.7,9,1,0,0,5,1,4,0,4,0,0,3,1,1
Art,Education Administrator,4.0,7,0,1,1,1,0,0,1,4,1,2,4,0,1
Computer Science,Web Developer,4.6,7,1,0,1,5,1,4,4,3,1,3,1,3,1
Marketing,Organic Chemist,4.1,6,1,4,0,9,1,0,0,2,0,3,0,0,1
Art,Organic Chemist,4.4,7,2,0,0,4,1,4,3,3,4,0,3,2,1
Education,Microbiologist,4.1,4,0,0,1,7,1,1,4,2,0,2,3,2,1
Law,Art Therapist,4.8,9,1,0,0,1,0,2,3,2,3,3,2,1,1
Music,Music Therapist,3.3,0,2,1,1,4,0,4,4,3,0,0,0,2,1
Marketing,Artist,4.3,7,1,1,1,6,0,1,3,2,4,3,4,3,1
Medicine,Legal Consultant,3.4,5,0,0,1,5,0,3,1,0,4,0,1,4,0
Computer Science,Inorganic Chemist,4.6,2,2,1,0,3,0,1,3,4,2,3,1,0,1
Education,Analytical Chemist,2.5,3,1,2,1,3,1,1,3,4,1,1,1,0,0
Architecture,Principal,4.7,5,0,0,0,9,1,1,0,3,3,1,0,0,1
Music,Manager,5.0,7,0,4,1,0,0,2,4,1,3,2,2,1,1
Law,Landscape Architect,4.0,3,0,0,0,7,1,2,2,0,4,2,3,0,0
Engineering,Accountant,4.2,9,1,4,1,4,0,4,1,1,0,2,2,4,1
Biology,Data Scientist,4.3,1,0,3,1,0,0,2,2,4,2,4,2,4,0
Chemistry,Art Director,4.3,7,2,2,0,8,0,3,2,1,0,2,2,2,1
Medicine,Urban Planner,4.6,4,0,4,1,2,1,3,3,2,3,4,1,3,0
Medicine,Curriculum Developer,3.6,8,0,0,1,6,0,4,3,1,2,1,4,3,0
Music,Biotechnologist,4.7,8,2,4,1,6,1,3,2,2,1,3,1,1,1
Finance,Conductor,2.9,3,1,3,0,1,0,4,1,0,0,0,2,3,0
Architecture,Art Therapist,3.4,3,2,0,0,2,0,0,3,2,2,0,4,2,0
Finance,Web Developer,3.8,7,0,3,1,1,0,0,4,1,3,2,1,0,0
Art,Social Media Manager,3.8,9,1,3,1,8,1,4,2,0,4,2,2,1,0
Art,Legal Analyst,4.3,5,1,4,0,7,1,2,0,2,2,2,4,0,1
Engineering,AI Researcher,2.6,6,0,2,0,2,0,3,1,1,2,0,1,0,0
Marketing,Chemical Engineer,3.4,8,0,4,0,0,1,2,2,1,1,4,3,0,1
Marketing,Quantum Physicist,4.5,7,1,2,1,8,1,4,1,1,3,0,2,2,1
Education,Physical Chemist,5.0,5,1,3,0,7,1,4,1,0,2,3,4,1,0
Medicine,Social Media Manager,2.9,6,1,1,1,4,1,1,2,3,1,1,1,1,0
Biology,Chemical Engineer,4.1,1,0,4,0,1,1,3,2,3,3,1,2,3,1
Computer Science,Marketing Specialist,2.8,9,0,2,1,3,1,4,3,1,0,3,3,4,0
Physics,Civil Engineer,4.6,4,0,4,0,9,0,0,1,2,0,1,4,0,0
